ComboInd1,Campaign_Name,Set_Sample_Number,Sample_Type,Growth_Method,Plant,Inoculated,Spiked,Inoc_Day,Harvest_Day,Inoc_Assay_Length,G1,G2,G3,G4
926R_inline18_IT061,G1 R1 _U,6,unattached sand,EcoFAB,None,Yes,No,0,0,0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0_0,unattached sand_EcoFAB_None_Yes_0_0_0
926R_inline18_IT073,G1 R2 _U,7,unattached sand,EcoFAB,None,Yes,No,0,0,0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0_0,unattached sand_EcoFAB_None_Yes_0_0_0
926R_inline18_IT085,G1 R3 _U,8,unattached sand,EcoFAB,None,Yes,No,0,0,0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0,unattached sand_EcoFAB_None_Yes_0_0,unattached sand_EcoFAB_None_Yes_0_0_0
926R_inline19_IT062,G10 R1 _A,110,Attached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,Attached sand_EcoFAB_Brachypodium_Yes_0,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT069,G10 R1 _R,166,Root,EcoFAB,Brachypodium,Yes,No,0,21,21,Root_EcoFAB_Brachypodium_Yes_0,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_0_21,Root_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline18_IT031,G10 R1 _U,51,unattached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,unattached sand_EcoFAB_Brachypodium_Yes_0,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT074,G10 R2 _A,111,Attached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,Attached sand_EcoFAB_Brachypodium_Yes_0,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT081,G10 R2 _R,167,Root,EcoFAB,Brachypodium,Yes,No,0,21,21,Root_EcoFAB_Brachypodium_Yes_0,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_0_21,Root_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline18_IT043,G10 R2 _U,52,unattached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,unattached sand_EcoFAB_Brachypodium_Yes_0,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline18_IT055,G10 R3 _U,53,unattached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,unattached sand_EcoFAB_Brachypodium_Yes_0,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT003,G10 R4 _A,113,Attached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,Attached sand_EcoFAB_Brachypodium_Yes_0,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT010,G10 R4 _R,169,Root,EcoFAB,Brachypodium,Yes,No,0,21,21,Root_EcoFAB_Brachypodium_Yes_0,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_0_21,Root_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline18_IT067,G10 R4 _U,54,unattached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,unattached sand_EcoFAB_Brachypodium_Yes_0,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT015,G10 R5 _A,114,Attached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,Attached sand_EcoFAB_Brachypodium_Yes_0,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT022,G10 R5 _R,170,Root,EcoFAB,Brachypodium,Yes,No,0,21,21,Root_EcoFAB_Brachypodium_Yes_0,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_0_21,Root_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline18_IT079,G10 R5 _U,55,unattached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,unattached sand_EcoFAB_Brachypodium_Yes_0,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21,unattached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT027,G10 R6 _A,115,Attached sand,EcoFAB,Brachypodium,Yes,No,0,21,21,Attached sand_EcoFAB_Brachypodium_Yes_0,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21,Attached sand_EcoFAB_Brachypodium_Yes_0_21_21
926R_inline19_IT034,G10 R6 _R,171,Root,EcoFAB,Brachypodium,Yes,No,0,21,21,Root_EcoFAB_Brachypodium_Yes_0,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_0_21,Root_EcoFAB_Brachypodium_Yes_0_21_21
