Species,926R_inline18_IT061,926R_inline18_IT073,926R_inline18_IT085,926R_inline19_IT062,926R_inline19_IT069,926R_inline18_IT031,926R_inline19_IT074,926R_inline19_IT081,926R_inline18_IT043,926R_inline18_IT055,926R_inline19_IT003,926R_inline19_IT010,926R_inline18_IT067,926R_inline19_IT015,926R_inline19_IT022,926R_inline18_IT079,926R_inline19_IT027,926R_inline19_IT034,926R_inline18_IT091,926R_inline19_IT039,926R_inline19_IT046,926R_inline18_IT008,926R_inline19_IT051,926R_inline19_IT058,926R_inline18_IT020,926R_inline19_IT063,926R_inline19_IT070,926R_inline18_IT032,926R_inline19_IT040,926R_inline19_IT047,926R_inline18_IT009,926R_inline19_IT075,926R_inline18_IT044,926R_inline18_IT056,926R_inline19_IT004,926R_inline19_IT011,926R_inline18_IT068,926R_inline19_IT016,926R_inline19_IT023,926R_inline18_IT080,926R_inline19_IT028,926R_inline19_IT035,926R_inline18_IT092,926R_inline18_IT021,926R_inline18_IT033,926R_inline18_IT045,926R_inline19_IT052,926R_inline19_IT059,926R_inline18_IT057,926R_inline19_IT071,926R_inline18_IT069,926R_inline19_IT076,926R_inline18_IT081,926R_inline19_IT095,926R_inline18_IT093,926R_inline19_IT005,926R_inline19_IT012,926R_inline18_IT010,926R_inline19_IT017,926R_inline18_IT022,926R_inline18_IT034,926R_inline19_IT041,926R_inline19_IT048,926R_inline18_IT046,926R_inline18_IT058,926R_inline19_IT053,926R_inline18_IT002,926R_inline18_IT070,926R_inline19_IT065,926R_inline18_IT014,926R_inline18_IT082,926R_inline19_IT077,926R_inline18_IT026,926R_inline18_IT094,926R_inline19_IT089,926R_inline18_IT038,926R_inline18_IT011,926R_inline19_IT006,926R_inline18_IT050,926R_inline18_IT023,926R_inline19_IT018,926R_inline18_IT062,926R_inline18_IT035,926R_inline19_IT030,926R_inline18_IT074,926R_inline19_IT042,926R_inline18_IT086,926R_inline18_IT059,926R_inline19_IT054,926R_inline18_IT003,926R_inline18_IT071,926R_inline19_IT066,926R_inline18_IT015,926R_inline18_IT083,926R_inline19_IT078,926R_inline18_IT027,926R_inline18_IT095,926R_inline19_IT090,926R_inline18_IT039,926R_inline18_IT012,926R_inline19_IT007,926R_inline18_IT051,926R_inline19_IT001,926R_inline19_IT008,926R_inline18_IT052,926R_inline18_IT024,926R_inline19_IT019,926R_inline18_IT063,926R_inline18_IT036,926R_inline19_IT031,926R_inline18_IT075,926R_inline18_IT048,926R_inline19_IT043,926R_inline18_IT087,926R_inline18_IT060,926R_inline19_IT055,926R_inline18_IT004,926R_inline18_IT072,926R_inline19_IT067,926R_inline18_IT016,926R_inline18_IT084,926R_inline19_IT079,926R_inline18_IT028,926R_inline18_IT096,926R_inline19_IT091,926R_inline18_IT064,926R_inline18_IT076,926R_inline18_IT088,926R_inline18_IT005,926R_inline18_IT017,926R_inline18_IT029,926R_inline18_IT041,926R_inline18_IT053,926R_inline18_IT065,926R_inline19_IT013,926R_inline19_IT020,926R_inline19_IT025,926R_inline19_IT032,926R_inline18_IT089,926R_inline19_IT037,926R_inline19_IT044,926R_inline18_IT006,926R_inline19_IT049,926R_inline19_IT056,926R_inline18_IT018,926R_inline19_IT061,926R_inline19_IT068,926R_inline18_IT030,926R_inline19_IT073,926R_inline19_IT080,926R_inline18_IT042,926R_inline19_IT085,926R_inline19_IT092,926R_inline18_IT054,926R_inline19_IT002,926R_inline19_IT009,926R_inline18_IT066,926R_inline19_IT014,926R_inline19_IT021,926R_inline18_IT078,926R_inline19_IT026,926R_inline18_IT090,926R_inline19_IT038,926R_inline19_IT045,926R_inline18_IT007,926R_inline19_IT050,926R_inline19_IT057,926R_inline18_IT019,926R_inline18_IT037,926R_inline18_IT049
SynCom17_Arthrobacter_sp._OAP107,1.871183626,1.955724813,1.849214891,2.716956812,2.214549606,7.899696053,7.975081196,6.650173799,7.791781581,7.78445155,8.127992792,6.986449219,7.822188768,8.258067877,6.278688029,7.812046915,8.270464736,6.28359533,7.857948888,2.792508441,7.419136092,2.582489523,7.916152085,6.253283386,7.824301435,8.059215129,6.050210371,7.799436521,7.804024435,6.543718765,7.765727006,8.002960957,7.896970966,7.855078803,2.55430742,6.55168767,2.436869145,7.876529802,6.688311536,7.802402019,8.049118652,6.582177129,7.855863436,7.859635986,7.881361552,7.765727043,6.6605391,5.564667873,1.527814645,5.825573164,1.806180414,7.117391407,7.136291928,6.486492571,7.167986966,2.422918057,7.34914291,7.341950242,6.033177217,1.781242708,1.813520506,2.990560861,7.463247579,7.644683375,1.904807898,2.0755473,7.759084059,7.767492129,5.695943341,7.643619719,7.780584262,6.718018915,7.67524109,7.774639202,6.775112342,7.774008633,7.771000939,7.360735895,7.711144201,7.705270316,6.342805515,2.536277819,7.675636974,6.237296144,7.83567252,6.209266867,7.78042883,7.777308892,5.967676922,7.753000729,2.816373926,6.835262282,7.758593992,2.776701243,2.169842485,7.729354041,7.782290102,7.362367012,7.78058424,7.948572259,7.032303455,7.813057412,2.613665698,7.66845513,7.870887092,7.826403882,6.40239031,7.861316544,7.851794164,5.413408777,7.771318544,7.743966552,7.295148867,7.83471334,7.79284029,5.564667873,7.799436542,7.771953006,5.839361165,7.776054619,7.704900537,6.755807226,2.866730319,8.029421332,6.278688029,2.756310036,2.89475902,7.833614555,7.84555095,7.916038346,7.818359862,7.859765491,7.840977978,7.955482591,7.942407417,6.901229351,7.96968616,7.320526473,7.844076701,8.160989645,6.367628562,7.834438904,8.018778497,7.153088135,7.767171728,7.954962923,6.811324645,7.845015457,7.916265795,6.658486175,7.788284719,8.218714568,6.273724875,7.880127766,7.880374793,6.033178022,7.907886121,7.433883122,7.378350206,7.86949654,8.109812856,7.828913455,7.901934385,5.480351975,7.821340813,8.197941514,7.298933589,7.877027864,2.346744061,2.450841038
SynCom17_Bacillus_sp._OAE603,1.026085586,1.256754809,1.122216163,2.658964865,1.938343194,7.899696053,7.975081196,6.650173799,7.791781581,7.78445155,8.127992792,6.986449219,7.822188768,8.258067877,6.278688029,7.812046915,8.270464736,6.28359533,7.857948888,7.904862076,7.419136092,7.819781895,7.916152085,6.253283386,7.824301435,8.059215129,6.050210371,7.799436521,7.804024435,6.543718765,1.599015709,8.002960957,7.896970966,7.855078803,8.1895398,6.55168767,7.725314039,7.876529802,1.75204916,7.802402019,8.049118652,6.582177129,7.855863436,7.859635986,7.881361552,7.765727043,1.724276724,5.564667873,0.992701443,5.825573164,6.839352803,7.117391407,7.136291928,6.486492571,7.167986966,7.456090446,7.34914291,2.10465787,6.033177217,6.960543133,1.022404278,1.405100131,7.463247579,0.464143878,2.672493715,7.108719689,0.585403627,7.767492129,5.695943341,7.643619719,7.780584262,6.718018915,2.642068701,7.774639202,6.775112342,7.774008633,1.729228378,7.360735895,0.417423439,7.705270316,6.342805515,2.587430342,7.675636974,6.237296144,7.83567252,6.209266867,7.78042883,7.777308892,5.967676922,7.753000729,7.849546315,6.835262282,7.758593992,7.712963619,7.34914291,7.729354041,7.782290102,7.362367012,7.78058424,7.948572259,7.032303455,7.813057412,8.027049329,7.66845513,7.870887092,7.826403882,6.40239031,7.861316544,7.851794164,5.413408777,7.771318544,7.743966552,7.295148867,1.898450964,7.79284029,5.564667873,7.799436542,7.771953006,5.839361165,7.776054619,7.704900537,6.755807226,7.802992695,8.029421332,6.278688029,2.698318089,7.927931409,7.833614555,7.84555095,7.916038346,2.882097486,7.859765491,7.840977978,7.955482591,7.942407417,6.901229351,2.93651377,7.320526473,2.468481631,8.160989645,6.367628562,7.834438904,8.018778497,7.153088135,7.767171728,7.954962923,6.811324645,7.845015457,7.916265795,6.658486175,7.788284719,8.218714568,6.273724875,7.880127766,7.880374793,6.033178022,7.907886121,7.433883122,7.378350206,7.86949654,8.109812856,7.828913455,7.901934385,5.480351975,7.821340813,8.197941514,7.298933589,7.877027864,1.223982243,1.028225947
SynCom17_Bosea_sp._OAE506,2.093032376,7.40387055,6.961568526,2.200327016,7.502994501,2.720395628,2.526935459,6.650173799,2.855519205,2.751279161,2.191730416,6.986449219,2.232713878,2.525925483,6.278688029,2.778874526,2.59383967,6.28359533,2.222716507,2.792508441,2.306782457,1.954100593,2.979889709,6.253283386,2.410917805,2.770770235,6.050210371,2.186480535,2.323694014,6.543718765,1.798056166,2.668758572,2.100370584,1.964573917,2.010239376,6.55168767,1.546013615,2.110963653,6.688311536,1.70477164,2.436162666,6.582177129,1.822691047,2.826463597,2.64406918,2.829464667,6.6605391,5.564667873,6.70711507,5.825573164,6.839352803,7.117391407,2.200029552,6.486492571,2.134814577,2.167645552,7.34914291,2.405687866,6.033177217,6.960543133,7.189115576,2.814469602,7.463247579,7.644683375,2.403648403,7.108719689,2.579783634,2.588191705,5.695943341,7.643619719,7.780584262,6.718018915,7.67524109,2.741466813,6.775112342,2.594708208,2.591700514,7.360735895,2.29776057,2.672097926,6.342805515,1.827762497,2.642464584,6.237296144,7.83567252,6.209266867,2.844166454,2.401713822,5.967676922,2.515708357,2.913283939,6.835262282,2.822331616,2.337368549,7.34914291,2.353758971,2.301959681,7.362367012,2.668230605,2.500426521,7.032303455,7.813057412,2.993876939,2.63528274,2.360593449,2.890141505,6.40239031,2.682016119,2.438410534,5.413408777,2.437116159,7.743966552,7.295148867,7.83471334,2.458637905,5.564667873,7.799436542,2.534660635,5.839361165,2.295724198,2.525600113,6.755807226,2.62369227,2.16374003,6.278688029,2.999348084,2.363280103,2.800442166,7.84555095,2.803684711,7.818359862,7.859765491,7.840977978,2.718190219,2.529023786,6.901229351,2.293061094,7.320526473,2.129663074,1.945973668,6.367628562,2.500236519,2.781486125,7.153088135,2.654818092,7.954962923,6.811324645,2.607723086,7.916265795,6.658486175,2.852022343,2.930269673,6.273724875,2.545925381,2.768021158,6.033178022,2.532291051,2.19659075,1.930204468,2.456112909,2.520337967,2.892651079,2.965672009,5.480351975,2.256689507,2.784557883,7.298933589,2.639735492,2.060437322,2.059634412
SynCom17_Bradyrhizobium_sp._OAE829,2.445214894,7.40387055,6.961568526,7.896257236,7.502994501,7.899696053,7.975081196,6.650173799,7.791781581,7.78445155,8.127992792,6.986449219,7.822188768,8.258067877,6.278688029,7.812046915,2.936262351,6.28359533,7.857948888,2.871689687,7.419136092,7.819781895,7.916152085,6.253283386,7.824301435,2.821922757,6.050210371,7.799436521,2.6916708,6.543718765,7.765727006,3.066698581,7.896970966,7.855078803,3.253277424,6.55168767,7.725314039,2.843357413,6.688311536,7.802402019,3.015946263,6.582177129,7.855863436,7.859635986,7.881361552,7.765727043,6.6605391,5.564667873,6.70711507,5.825573164,6.839352803,7.117391407,7.136291928,6.486492571,7.167986966,7.456090446,7.34914291,7.341950242,6.033177217,6.960543133,7.189115576,7.926823237,7.463247579,7.644683375,7.85179414,7.108719689,7.759084059,7.767492129,5.695943341,7.643619719,7.780584262,6.718018915,7.67524109,7.774639202,6.775112342,7.774008633,7.771000939,7.360735895,7.711144201,7.705270316,6.342805515,7.824722714,7.675636974,6.237296144,7.83567252,6.209266867,7.78042883,7.777308892,5.967676922,7.753000729,7.849546315,6.835262282,7.758593992,7.712963619,7.34914291,7.729354041,7.782290102,7.362367012,7.78058424,7.948572259,7.032303455,7.813057412,8.027049329,7.66845513,7.870887092,7.826403882,6.40239031,7.861316544,7.851794164,5.413408777,7.771318544,7.743966552,7.295148867,7.83471334,7.79284029,5.564667873,7.799436542,7.771953006,5.839361165,7.776054619,7.704900537,6.755807226,7.802992695,8.029421332,6.278688029,7.93561046,7.927931409,7.833614555,7.84555095,7.916038346,7.818359862,7.859765491,7.840977978,7.955482591,3.006145041,6.901229351,7.96968616,7.320526473,7.844076701,8.160989645,6.367628562,7.834438904,8.018778497,7.153088135,7.767171728,7.954962923,6.811324645,7.845015457,7.916265795,6.658486175,7.788284719,8.218714568,6.273724875,7.880127766,7.880374793,6.033178022,7.907886121,7.433883122,7.378350206,7.86949654,8.109812856,7.828913455,7.901934385,5.480351975,7.821340813,8.197941514,7.298933589,7.877027864,2.619745333,2.865814386
SynCom17_Brevibacillus_sp._OAP136,2.202176845,1.990486919,6.961568526,2.783903601,7.502994501,2.286740067,7.975081196,6.650173799,7.791781581,7.78445155,8.127992792,6.986449219,7.822188768,8.258067877,6.278688029,7.812046915,3.33420236,6.28359533,7.857948888,7.904862076,7.419136092,7.819781895,7.916152085,6.253283386,7.824301435,8.059215129,6.050210371,7.799436521,7.804024435,6.543718765,7.765727006,8.002960957,7.896970966,7.855078803,8.1895398,6.55168767,7.725314039,7.876529802,6.688311536,7.802402019,8.049118652,6.582177129,7.855863436,7.859635986,7.881361552,7.765727043,6.6605391,5.564667873,6.70711507,5.825573164,1.726999168,7.117391407,7.136291928,6.486492571,1.792391896,7.456090446,7.34914291,7.341950242,6.033177217,1.927370744,2.076761941,7.926823237,7.463247579,7.644683375,7.85179414,7.108719689,7.759084059,7.767492129,5.695943341,7.643619719,7.780584262,6.718018915,7.67524109,7.774639202,6.775112342,7.774008633,7.771000939,7.360735895,7.711144201,7.705270316,6.342805515,7.824722714,7.675636974,6.237296144,7.83567252,6.209266867,7.78042883,7.777308892,5.967676922,7.753000729,7.849546315,6.835262282,7.758593992,7.712963619,7.34914291,7.729354041,7.782290102,7.362367012,7.78058424,7.948572259,7.032303455,7.813057412,8.027049329,7.66845513,7.870887092,7.826403882,6.40239031,7.861316544,7.851794164,5.413408777,7.771318544,7.743966552,7.295148867,7.83471334,7.79284029,5.564667873,7.799436542,7.771953006,5.839361165,7.776054619,7.704900537,6.755807226,7.802992695,8.029421332,6.278688029,7.93561046,7.927931409,7.833614555,7.84555095,7.916038346,7.818359862,7.859765491,7.840977978,7.955482591,7.942407417,6.901229351,7.96968616,7.320526473,7.844076701,8.160989645,6.367628562,7.834438904,8.018778497,7.153088135,7.767171728,7.954962923,6.811324645,7.845015457,7.916265795,6.658486175,7.788284719,8.218714568,6.273724875,7.880127766,7.880374793,6.033178022,7.907886121,7.433883122,7.378350206,7.86949654,8.109812856,7.828913455,7.901934385,5.480351975,7.821340813,8.197941514,7.298933589,7.877027864,2.346744061,1.952000533
SynCom17_Burkholderia_sp._OAS925,1.038674714,1.277276476,1.265638305,0.673875358,0.185165829,1.031467562,0.405097941,0.160635377,0.510145474,0.86932419,0.333343623,0.327964379,0.618754664,0.254176784,0.052391041,0.519280647,0.452104927,0.057298343,0.344482039,0.443554893,0.137990437,1.073959804,0.187673174,0.133751166,0.604737831,0.295906736,0.35428015,0.197593154,0.527813997,0.576047925,0.758503714,0.19120324,0.159133392,0.619418097,0.822718655,0.372387245,0.857085549,0.525294078,0.605921124,0.840833777,0.43365558,0.124123103,0.536234577,2.110460253,1.165142124,1.232867572,0.493827802,1.230465489,0.34760682,1.491370779,0.26211237,0.195478057,0.479870249,1.374138936,0.359568317,0.75453214,0.363662511,0.154658327,0.397944837,0.224940207,0.332468957,0.510194551,0.136933707,0.616754041,0.590221392,0.149204853,0.732916572,0.22377473,1.31201E-05,0.56590757,0.056861411,0.009068184,0.265126944,0.132513114,0.102453463,0.547155214,0.122088861,0.005758022,0.596624504,0.063785884,2.9585E-06,0.890637257,0.194996453,3.77208E-06,0.526038327,0.142670722,0.832384623,0.361039573,0.089406493,0.294620289,0.34655191,0.215502588,0.282941834,0.702982893,0.061180833,0.510356292,0.263964363,0.085165033,0.917465155,0.450314582,0.026003212,0.771284852,0.169620902,0.045779944,0.852737577,0.315820804,0.210855429,0.344414256,0.377712693,2.51466E-05,0.428090417,0.806619794,0.004297903,1.270062034,0.614160729,0.189072804,1.128774423,0.206791066,0.162736099,0.639078509,0.47472342,0.077212568,1.495662456,0.684495082,0.564274402,1.698318089,2.213517783,1.919628574,1.18706611,2.150472197,1.331869133,1.754711095,0.394841317,1.147063942,0.178775768,0.048513026,0.205731495,3.11422E-07,0.265349805,0.634777667,0.06963835,0.576992501,0.242566953,0.023005733,0.401560879,0.176091307,1.00589E-06,0.200970068,0.173314804,0.018932421,0.307954299,0.162948864,0.041895399,0.250798296,0.195343135,0.036217806,0.562113292,0.304496147,0.04154984,0.618314108,0.500299117,0.748076871,0.32345488,2.15543E-05,0.553145264,0.299073065,0.009043454,0.727247731,0.946493969,1.039739583
SynCom17_Chitinophaga_sp._OAE865,0.667063644,0.43619971,0.606176842,7.896257236,7.502994501,7.899696053,7.975081196,6.650173799,7.791781581,7.78445155,8.127992792,6.986449219,7.822188768,8.258067877,6.278688029,7.812046915,1.501693447,6.28359533,1.816176327,2.394568433,7.419136092,2.444186825,7.916152085,6.253283386,7.824301435,2.052914886,6.050210371,1.946720196,2.390640804,6.543718765,2.227404639,2.237394808,2.220345901,2.918816427,2.287135692,6.55168767,2.391111655,7.876529802,0.956169143,7.802402019,2.112856276,6.582177129,2.199441757,7.859635986,7.881361552,7.765727043,6.6605391,5.564667873,6.70711507,5.825573164,1.903090427,7.117391407,7.136291928,6.486492571,7.167986966,2.276790021,7.34914291,1.928566611,6.033177217,6.960543133,7.189115576,7.926823237,7.463247579,7.644683375,1.112758039,7.108719689,1.781428998,2.831229753,5.695943341,2.61044733,2.066170635,6.718018915,2.738978714,1.84937221,6.775112342,2.325862896,1.905319637,7.360735895,1.652665947,7.705270316,6.342805515,1.712369078,2.195306553,6.237296144,7.83567252,6.209266867,2.270135186,7.777308892,5.967676922,2.816738353,1.311223947,6.835262282,2.822331616,7.712963619,7.34914291,7.729354041,7.782290102,7.362367012,2.747411851,3.012309882,7.032303455,7.813057412,0.953274599,7.66845513,1.903216252,2.077228149,6.40239031,7.861316544,7.851794164,5.413408777,7.771318544,1.176768057,7.295148867,1.61402023,7.79284029,5.564667873,7.799436542,7.771953006,5.839361165,7.776054619,1.757914296,6.755807226,7.802992695,1.954856258,6.278688029,1.588570851,2.232001188,2.119200929,7.84555095,2.502654715,7.818359862,2.411619754,7.840977978,7.955482591,2.529023786,6.901229351,3.033423783,7.320526473,2.606784329,8.160989645,6.367628562,7.834438904,3.082516121,7.153088135,2.286841307,7.954962923,6.811324645,7.845015457,7.916265795,6.658486175,7.788284719,8.218714568,6.273724875,7.880127766,2.944112417,6.033178022,7.907886121,2.321529487,7.378350206,2.421350803,2.132157795,2.892651079,1.934263545,5.480351975,7.821340813,8.197941514,7.298933589,7.877027864,1.013632797,1.070629796
SynCom17_Lysobacter_sp._OAE881,1.331271542,1.513365665,1.372093636,1.769663162,1.035253207,2.720395628,2.494750775,1.61700141,2.612481156,7.78445155,2.316669153,1.08404511,2.584896396,1.826955479,6.278688029,2.079904521,2.049771626,1.347332954,2.244992902,1.363833816,1.043541022,1.852111054,2.502768454,6.253283386,2.448706365,2.548921485,6.050210371,2.766264132,1.797724192,6.543718765,1.592675531,2.823660532,2.717670542,1.858118586,1.259841194,1.263242776,1.241892542,1.998259373,1.07535555,2.237750713,2.03367503,6.582177129,1.878208375,2.270161096,2.224939872,7.765727043,1.423246728,5.564667873,1.418670175,5.825573164,1.726999168,2.181129031,7.136291928,6.486492571,1.719841229,1.235397336,2.412880533,1.685528562,6.033177217,6.960543133,1.62446427,1.010557489,1.714071846,1.351439598,0.488207977,0.96833733,0.648907343,1.8892217,5.695943341,7.643619719,2.015018113,6.718018915,2.437948718,2.264345558,6.775112342,2.536716261,1.522984702,2.072291001,1.114490727,2.525969891,6.342805515,2.31442907,2.387192079,6.237296144,7.83567252,1.273004491,2.048286436,1.610597595,5.967676922,2.163525839,2.117403921,1.898999906,2.52130162,1.497947642,1.784491603,2.440909147,1.596829368,7.362367012,2.446381855,2.167211842,7.032303455,2.700703777,1.81778568,7.66845513,2.390556672,2.015080242,0.74596863,2.413170807,2.137380538,5.413408777,2.48287365,1.918402473,2.261976478,2.053352924,2.027274141,5.564667873,2.766264153,2.483508112,5.839361165,2.400459549,2.370698153,6.755807226,2.46879031,2.16374003,6.278688029,2.487464723,2.639486515,2.65431413,2.397405213,2.435707925,2.370214125,2.525563106,2.164352912,2.843128956,2.705115046,1.788875715,2.09141573,7.320526473,1.897090459,1.877397253,1.13033619,2.54599401,2.253212348,7.153088135,2.654818092,7.954962923,6.811324645,7.845015457,1.938610734,6.658486175,2.675931084,2.379362204,6.273724875,2.846955377,2.054810715,6.033178022,2.343234815,1.844408232,1.840027838,2.421350803,1.665020761,2.017589816,2.421603965,5.480351975,2.788168424,2.633290208,7.298933589,7.877027864,1.241801952,1.175618306
SynCom17_Methylobacterium_sp._OAE515,2.445214894,2.467608174,6.961568526,1.813866825,1.271165024,1.922040992,2.072677087,1.61700141,2.281487937,2.450249165,1.942532059,1.652246834,1.956507466,1.984346239,1.24551564,2.398663284,2.033172364,6.28359533,1.303638415,2.394568433,1.566419767,1.628247013,2.119551703,1.073982961,1.749736361,2.206498804,6.050210371,2.018076105,2.071882041,1.43136513,1.750283384,2.221600541,1.982984985,1.830680338,1.794639575,6.55168767,1.270537723,2.095169386,1.07535555,1.75219629,2.196402328,1.206582059,1.682811961,1.777245574,1.622879881,1.632184109,6.6605391,5.564667873,6.70711507,5.825573164,6.839352803,1.880099036,2.023938293,1.550230195,1.657693322,1.603374121,1.868812489,2.229596607,6.033177217,1.848189497,1.900670681,2.638378343,2.129045194,7.644683375,2.47619907,7.108719689,2.424881674,2.73431974,5.695943341,7.643619719,2.668230627,6.718018915,7.67524109,2.741466813,6.775112342,1.97740825,2.533708567,7.360735895,7.711144201,2.257124578,6.342805515,1.183024291,2.300041904,6.237296144,2.159047455,1.273004491,2.084498609,1.687231652,5.967676922,1.94167709,1.77498124,1.120848655,0.940091768,1.285339549,1.713910529,1.569076854,1.891785216,2.250013376,2.14535186,1.8081899,1.85300303,1.987493334,2.002650864,1.991830064,1.751354873,1.987051518,6.40239031,1.855016302,2.070433748,5.413408777,1.868914435,2.330582921,7.295148867,2.421329709,2.379456659,5.564667873,2.386052911,2.076022786,5.839361165,1.850787627,1.747448862,1.467362332,1.560305291,1.875675012,6.278688029,1.788494719,1.514547778,1.119200929,1.291240477,2.013634237,0.263787845,1.606485014,2.029654338,1.158882208,1.945447201,1.868056962,2.273755939,7.320526473,2.468481631,2.183334583,6.367628562,2.269787598,2.116374388,2.216825759,2.353788097,2.143639283,6.811324645,2.255540567,2.377943428,6.658486175,2.852022343,2.05200327,6.273724875,2.147985372,2.184444572,6.033178022,2.142319972,2.254582697,7.378350206,2.632204168,1.605348756,1.017589816,2.363612018,5.480351975,1.843685751,1.886015524,7.298933589,2.111461715,2.920775328,2.71968635
SynCom17_Mucilaginibacter_sp._OAE612,0.840449009,0.839219244,0.834974452,0.786080521,2.469822111,0.562895687,0.800145576,6.650173799,0.617473102,0.91243007,0.896713404,6.986449219,0.795139464,1.065930227,6.278688029,0.950214629,0.792311235,6.28359533,0.645799551,1.080701212,2.385963703,0.731231174,1.45809806,6.253283386,0.632766554,0.810140927,1.017037982,0.81883041,0.743910418,6.543718765,0.872816051,1.016512231,0.772483418,0.732001302,0.627450711,6.55168767,0.565036852,0.736826559,1.509011111,0.675108034,0.721921169,6.582177129,0.705419751,1.484040916,0.930158826,1.134859468,0.863938717,5.564667873,1.11764018,5.825573164,0.925366822,1.192124415,1.03866155,6.486492571,0.829463207,0.697006424,1.617000516,0.994910632,0.920823582,0.963582916,0.915393938,0.741974617,1.316131838,0.5180893,0.813441238,2.172457313,1.092443215,0.826908379,5.695943341,0.809730252,1.429348538,6.718018915,1.443411614,0.821343487,1.440909957,1.520728156,0.997465861,7.360735895,0.853195349,1.28828256,6.342805515,1.449127644,1.019215294,6.237296144,1.278753664,6.209266867,0.622752216,0.794746497,5.967676922,0.887319427,1.292627459,1.722908646,1.098055746,1.171935358,2.169842485,1.046846793,1.132117371,2.329194622,0.85755013,0.636189357,7.032303455,0.871400004,1.136544443,7.66845513,0.856349194,0.56585905,6.40239031,0.66498278,0.543080087,5.413408777,0.495108106,0.599531649,7.295148867,0.680309496,0.669057193,5.564667873,0.535815231,1.059352721,5.839361165,0.730045005,0.974498805,6.755807226,1.01547197,0.494915764,6.278688029,1.363361973,1.544511002,1.630180451,1.096375217,1.282982885,1.380353756,1.439203276,1.427594347,1.30113392,0.927869519,6.901229351,0.814625785,7.320526473,0.725970737,0.772940833,6.367628562,0.81092766,1.015259232,2.119915746,0.77591349,1.209140832,6.811324645,1.084301811,0.857787541,6.658486175,0.882373503,1.217994202,6.273724875,1.124321454,1.260615099,6.033178022,0.970539363,0.959801651,1.581749823,0.558944176,0.503768865,0.500834155,0.850061498,5.480351975,0.890541332,0.95525411,7.298933589,0.902344042,0.719378204,0.690302572
